Original Name,Translated Name
CLINDAMYCIN( as phosphate) 1%w/w BENZOIL PEROXIDE (as hydrous) 5 % w/w,קלינדמיצין (כפוספט) 1% במשקל/משקל בנזואיל פרוקסיד (כהידרוס) 5% במשקל/משקל
REBOXITIN,רבוקסטין
RISPEREDON,ריספרידון
DESOGESTREL,דזוגסטרל
ROSUVASTATIN,רוזובסטטין
VITAMINS,ויטמינים
ISOSORBIDE MONONITRATE,איזוסורביד מונוניטרט
DUPIXENT,דופיקסנט
DONEPEZIL,דונפזיל
BICTEGRAVIR/EMTRICITABINE/TENOFOVIR ALAFENAMIDE,ביקטגרביר/אמטריציטאבין/טנופוביר אלאפנאמיד
CEFAZOLIN,צפזולין
ROSIGLTAZONE,רוזיגליטזון
HYDROCHLOROTHIAZIDE,הידרוכלורתיאזיד
GLIPIZIDE,גליפיזיד
ASENAPINE,אסנאפין
PLUVITON,פלוביטון
SERTRALINE HCL,סרטרלין הידרוכלוריד
ESOMEPRAZOLE,אסומפרזול
ALLOPURINOL,אלופורינול
POLYMYXIN SULPH,פולימיקסין סולפט
ETODOLAC,אטודולאק
TOBRAMYCIN,טוברמיצין
VARENICLINE,ורניקלין
SITAGLIPTIN AND METFORMIN,סיטגליפטין ומטפורמין
OSELTAMIVIR,אוסלטמיביר
TRICLOFOS SOD,טריקלופוס נתרן
LIDOCAINE HCL,לידוקאין הידרוכלוריד
MINOCYCLINE HCL,מינוקסיקילין הידרוכלוריד
LAVENDER OIL,שמן לבנדר
CLONIDINE HCL,קלונידין הידרוכלוריד
BUDESONIDE,בודזוניד
CHLORPROTHIXENE,כלורפרוטיקסן
VITAMIN B6,ויטמין B6
HYDROXYCARBAMIDE,הידרוקסיקרבמיד
HEPARIN,הפארין
METRONIDAZOLE,מטרונידזול
LOSARTAN,לוסרטן
GRANISETRON,גרניסטרון
ATORVASTATIN,אטורווסטטין
DOXEPIN,דוקספין
ACARBOSE,אקרבוז
fluticasone (as furoate),פלוטיקזון (כפורואט)
Olopatadine Hydrochloride,אולופטדין הידרוכלוריד
MICONAZOLE,מיקונאזול
TRAZODONE,טרזודון
IMATINIB MESYLATE,אימטיניב מסילאט
EASYWHEY,איזיוווי
CANDESARTAN 16MG + HYDROCHLOROTHIAZIDE 12.5MG,"קנדסארטן 16 מ""ג + הידרוכלורתיאזיד 12.5 מ""ג"
VIREAD,ויראד
RITONAVIR,ריטונביר
FUROSEMIDE,פורוסמיד
LATANOPROST,לטנופרוסט
THEOPHYLLINE ANHYD,תיאופילין אניהידרוס
IPRATROPIUM BROM,איפראטרופיום ברומיד
NEVIRAPINE,נביראפין
OLANZAPINE,אולנזפין
CIPROFLOXACIN,ציפרופלוקסצין
CALCIPOTRIOL,קלציפוטריאול
NITROFURANTOIN,ניטרופורנטואין
ILOPERIDONE,אילופרידון
ANASTROZOLE,אנאסטרזול
EPOEITIN ALPHA,אריתרופויטין אלפא
KCL,אשלגן כלוריד
ANTIPYRINE,אנטיפירין
CEFTAZIDIME,צפטזידיים
Pioglitazone (as HCl),פיוגליטזון (כמלח הידרוכלורי)
DESIPRAMINE HCL,דסיפראמין הידרוכלוריד
OFLOXACIN,אופלוקסצין
KETOCONAZOLE,קטוקונאזול
I.INFLUENZA VACCINE 4 TYPES FLUARIXP TETRA.VAXIGRIP TETRA,חיסון שפעת 4 סוגים פלואריקס טטרה/וואקסיגריפ טטרה
TDAP,"טטנוס, דיפתריה ושעלת"
CAPSAICIN,קפסאיצין
UMECLIDINIUM/VILANTEROL,אומקלידיניום/וילנטרול
HALOPERIDOL,הלופרידול
AMINO SALICYLIC ACID,חומצה אמינו סליצילית
ZINC OXIDE,אבץ אוקסיד
AETAZOLAMIDE,אצטאזולמיד
1/2 STANDARD,חצי תקן
PHENOXYBENZAMINE HCL,פנוקסיבנזאמין הידרוכלוריד
ALFUZOSIN,אלפוזוסין
FINASTERIDE,פינסטריד
PROPYLENE GLYCOL,פרופילן גליקול
CANDESARTAN CILEXETIL,קנדסארטן צילקסטיל
MEMANTINE HCL,ממנטין הידרוכלוריד
EASY DRINK,איזידרינק
ATOMOXETINE,אטומוקסטין
FUSIDIC ACID,חומצה פוסידית
DUTASTERIDE,דוטסטריד
